frac_good,frac_good_switched,frac_terrible
0.9998756476683938,0.9998756476683938,0.0
1.0,1.0,0.0
1.0,1.0,0.0
0.9996502545369759,0.9996502545369759,0.0
0.9946050315179737,0.9961951274916236,0.0
0.9381302341480089,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
1.0,1.0,0.0
0.9997941624469968,0.9997941624469968,0.0
1.0,1.0,0.0
0.9959745051995974,0.9959745051995974,0.0
0.8206238064926799,0.9325270528325907,0.0
0.9858369098712446,0.9999141630901287,0.0
0.9987431922915794,0.9987431922915794,0.0
1.0,1.0,0.0
0.9998095238095238,1.0,0.0
0.9558097218611905,0.9999480114374838,0.0
1.0,1.0,0.0
0.9997932205893213,0.9997932205893213,0.0
0.9999575875816439,0.9999575875816439,0.0
0.9997243768949089,0.9998818758121037,0.0
0.9997932602853008,0.9997932602853008,0.0
1.0,1.0,0.0
0.9999515080981476,0.9999515080981476,0.0
0.999596652213371,0.9997479076333569,0.0
0.9999038553985193,0.9999038553985193,0.0
0.9970554493307839,0.9970554493307839,0.0
1.0,1.0,0.0
0.9999218200297084,0.9999218200297084,0.0
0.9995204756881174,0.9995204756881174,0.0
1.0,1.0,0.0
0.9987700458867496,1.0,0.0
1.0,1.0,0.0
0.998804565787444,0.999537251272559,0.0
0.9985970580732931,1.0,0.0
0.9994887726611349,0.9994887726611349,0.0
0.9999176039220533,0.9999176039220533,0.0
0.9980933496034167,0.9995042708968883,0.0
0.9999135770460634,0.9999135770460634,0.0
1.0,1.0,0.0
0.999922651506362,0.999922651506362,0.0
1.0,1.0,0.0
1.0,1.0,0.0
0.999922468599783,0.999922468599783,0.0
0.9998827300445626,0.9998827300445626,0.0
0.99996019425205,0.99996019425205,0.0
0.9999194587628866,0.9999597293814433,0.0
0.996639492189931,0.9995643786172133,0.0
0.9998935207368365,0.9999467603684182,0.0
0.9859932340198231,0.9998219478900825,0.0
0.38563965341488277,0.9978975535168195,0.0
0.922288883857822,1.0,0.0
0.7377266429733148,0.9948195891813746,0.0
0.999946219210498,0.999946219210498,0.0
0.9999467745369385,0.9999467745369385,0.0
0.9994250169881345,0.9994250169881345,0.0
0.9858522071771206,1.0,0.0
0.9998375392613452,0.9998375392613452,0.0
0.8152414709791759,0.9997784669915818,0.0
0.9996480732007742,0.9996480732007742,0.0
1.0,1.0,0.0
0.9962955927051672,0.9962955927051672,0.0
0.9999588697404681,0.9999588697404681,0.0
0.9999601657106437,0.9999601657106437,0.0
0.9999060944689642,0.9999060944689642,0.0
0.9997348986934292,0.9997348986934292,0.0
0.9996001759225941,0.9996001759225941,0.0
1.0,1.0,0.0
0.9979667609618105,0.998939179632249,0.0
0.9969441210710128,0.9985448195576252,0.0
0.9970258136924803,0.9975869809203143,0.0
1.0,1.0,0.0
